code,nom
19020,Saint-Léon-de-Standon
51035,Saint-Léon-le-Grand
50042,Saint-Léonard-d'Aston
34115,Saint-Léonard-de-Portneuf
28075,Saint-Magloire
49095,Saint-Majorique-de-Grantham
19025,Saint-Malachie
44003,Saint-Malo
88040,Saint-Marc-de-Figuery
34065,Saint-Marc-des-Carrières
13020,Saint-Marc-du-Lac-Long
57050,Saint-Marc-sur-Richelieu
17020,Saint-Marcel
54125,Saint-Marcel-de-Richelieu
10025,Saint-Marcellin
29045,Saint-Martin
55065,Saint-Mathias-sur-Richelieu
67005,Saint-Mathieu
88050,Saint-Mathieu-d'Harricana
57045,Saint-Mathieu-de-Beloeil
11050,Saint-Mathieu-de-Rioux
51070,Saint-Mathieu-du-Parc
37230,Saint-Maurice
68050,Saint-Michel
19110,Saint-Michel-de-Bellechasse
62085,Saint-Michel-des-Saints
13065,Saint-Michel-du-Squatec
12020,Saint-Modeste
11025,Saint-Médard
37240,Saint-Narcisse
33030,Saint-Narcisse-de-Beaurivage
10015,Saint-Narcisse-de-Rimouski
93045,Saint-Nazaire
48050,Saint-Nazaire-d'Acton
19015,Saint-Nazaire-de-Dorchester
52070,Saint-Norbert
39043,Saint-Norbert-d'Arthabaska
19045,Saint-Nérée-de-Bellechasse
27035,Saint-Odilon-de-Cranbourne
17005,Saint-Omer
53032,Saint-Ours
14070,Saint-Pacôme
17010,Saint-Pamphile
14018,Saint-Pascal
33025,Saint-Patrice-de-Beaurivage
68025,Saint-Patrice-de-Sherrington
61005,Saint-Paul
55015,Saint-Paul-d'Abbotsford
18030,Saint-Paul-de-Montminy
56035,Saint-Paul-de-l'Île-aux-Noix
12035,Saint-Paul-de-la-Croix
51060,Saint-Paulin
29065,Saint-Philibert
67010,Saint-Philippe
14060,Saint-Philippe-de-Néri
19005,Saint-Philémon
54008,Saint-Pie
49130,Saint-Pie-de-Guire
61020,Saint-Pierre
32050,Saint-Pierre-Baptiste
31135,Saint-Pierre-de-Broughton
13075,Saint-Pierre-de-Lamy
20025,Saint-Pierre-de-l'Île-d'Orléans
18055,Saint-Pierre-de-la-Rivière-du-Sud
38065,Saint-Pierre-les-Becquets
72043,Saint-Placide
71020,Saint-Polycarpe
91035,Saint-Prime
28020,Saint-Prosper
37250,Saint-Prosper-de-Champlain
19082,Saint-Raphaël
34128,Saint-Raymond
29050,Saint-René
53020,Saint-Robert
30070,Saint-Robert-Bellarmin
63040,Saint-Roch-Ouest
35045,Saint-Roch-de-Mékinac
53040,Saint-Roch-de-Richelieu
63035,Saint-Roch-de-l'Achigan
17065,Saint-Roch-des-Aulnaies
30100,Saint-Romain
39145,Saint-Rosaire
68055,Saint-Rémi
39020,Saint-Rémi-de-Tingwick
39130,Saint-Samuel
77043,Saint-Sauveur
54090,Saint-Simon
11055,Saint-Simon-de-Rimouski
29125,Saint-Simon-les-Mines
15058,Saint-Siméon
80070,Saint-Sixte
37245,Saint-Stanislas
92070,Saint-Stanislas
70040,Saint-Stanislas-de-Kostka
60020,Saint-Sulpice
33007,Saint-Sylvestre
38005,Saint-Sylvère
30085,Saint-Sébastien
56050,Saint-Sébastien
27070,Saint-Séverin
35020,Saint-Séverin
51030,Saint-Sévère
61027,Saint-Thomas
92045,Saint-Thomas-Didyme
34085,Saint-Thuribe
48045,Saint-Théodore-d'Acton
29005,Saint-Théophile
35027,Saint-Tite
21005,Saint-Tite-des-Caps
71015,Saint-Télesphore
34090,Saint-Ubalde
16055,Saint-Urbain
70005,Saint-Urbain-Premier
56030,Saint-Valentin
19117,Saint-Vallier
39135,Saint-Valère
10060,Saint-Valérien
54065,Saint-Valérien-de-Milton
44005,Saint-Venant-de-Paquette
27008,Saint-Victor
50023,Saint-Wenceslas
28005,Saint-Zacharie
71025,Saint-Zotique
62080,Saint-Zénon
50090,Saint-Zéphirin-de-Courval
68045,Saint-Édouard
85015,Saint-Édouard-de-Fabre
33080,Saint-Édouard-de-Lotbinière
51050,Saint-Édouard-de-Maskinongé
51075,Saint-Élie-de-Caxton
11035,Saint-Éloi
80125,Saint-Émile-de-Suffolk
29112,Saint-Éphrem-de-Beauce
12030,Saint-Épiphane
70030,Saint-Étienne-de-Beauharnois
45100,Saint-Étienne-de-Bolton
51090,Saint-Étienne-des-Grès
77022,Sainte-Adèle
33017,Sainte-Agathe-de-Lotbinière
78032,Sainte-Agathe-des-Monts
55030,Sainte-Angèle-de-Monnoir
51055,Sainte-Angèle-de-Prémont
21030,Sainte-Anne-de-Beaupré
66117,Sainte-Anne-de-Bellevue
56060,Sainte-Anne-de-Sabrevois
53065,Sainte-Anne-de-Sorel
37205,Sainte-Anne-de-la-Pérade
42050,Sainte-Anne-de-la-Rochelle
77035,Sainte-Anne-des-Lacs
73035,Sainte-Anne-des-Plaines
79115,Sainte-Anne-du-Lac
18025,Sainte-Apolline-de-Patton
28015,Sainte-Aurélie
69065,Sainte-Barbe
